,Acier,Combat,Dragon,Eau,Feu,Electik,Fee,Glace,Insecte,Normal,Plante,Poison,Psy,Roche,Sol,Spectre,Ténébres,Vol
Acier,0.5,1,1,0.5,0.5,0.5,2,2,1,1,1,1,1,2,1,1,1,1
Combat,2,1,1,1,1,1,0.5,2,0.5,2,1,0.5,0.5,2,1,0,2,0.5
Dragon,0.5,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Eau,1,1,0.5,0.5,2,1,1,1,1,1,0.5,1,1,2,2,1,1,1
Electrik,1,1,0.5,2,1,0.5,1,1,1,1,0.5,1,1,1,0,1,1,2
Feu,2,1,0.5,0.5,0.5,1,1,2,2,1,2,1,1,0.5,1,1,1,1
Fee,0.5,2,2,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,2,1
Glace,0.5,1,2,0.5,0.5,1,1,0.5,1,1,2,1,1,1,2,1,1,2
Insecte,0.5,0.5,1,1,0.5,1,0.5,1,1,1,2,0.5,2,1,1,0.5,2,0.5
Normal,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,1,1
Plante,0.5,1,0.5,2,0.5,1,1,1,0.5,1,0.5,0.5,1,2,2,1,1,0.5
Poison,0,1,1,1,1,1,2,1,1,1,2,0.5,1,0.5,0.5,0.5,1,1
Psy,0.5,2,1,1,1,1,1,1,1,1,1,2,0.5,1,1,1,0,1
Roche,0.5,0.5,1,1,2,1,1,2,2,1,1,1,1,1,0.5,1,1,2
Sel,2,1,1,1,2,2,1,1,0.5,1,0.5,2,1,2,1,1,1,0
Spectre,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,2,0.5,1
Ténèbres,1,0.5,1,1,1,1,0.5,1,1,1,1,1,2,1,1,2,0.5,1
Vol,0.5,2,1,1,1,0.5,1,1,2,1,2,1,1,0.5,1,1,1,1
